,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
0,GSM,427,1,9501,21021,0,51.562476,25.27155,2514,47,1,1345493598,1481599036,0
1,GSM,427,1,9501,21023,0,51.552284,25.275218,1000,88,1,1345493598,1486870610,0
2,GSM,427,1,9501,22831,0,51.552658,25.277859,1000,109,1,1345493598,1486870610,0
3,GSM,427,1,9401,20642,0,51.555937,25.282838,1605,111,1,1345493598,1476340179,0
4,GSM,427,1,9401,22821,0,51.552676,25.284428,2028,154,1,1345493603,1476669354,0
5,GSM,427,1,9501,23261,0,51.552933,25.271988,1407,10,1,1345641933,1481599036,0
8,GSM,427,1,9402,21621,0,51.502337,25.305242,4922,14,1,1370334086,1490008940,0
21,GSM,427,1,301,12563,0,51.22444153,25.37635803,1000,17,1,1223433530,1223413731,0
22,GSM,427,1,301,22563,0,51.22444153,25.37635803,1000,2,1,1223433531,1223413731,0
26,GSM,427,1,401,29011,0,51.53617859,25.29121399,1000,4,1,1239047047,1239027247,0
39,GSM,427,1,2100,30532,0,51.48948669,25.27198792,1000,1,1,1243078923,1243059123,0
40,GSM,427,1,54100,33192,0,51.52244568,25.32966614,1000,1,1,1243176613,1243156813,0
41,GSM,427,1,54100,30312,0,51.54716492,25.28297424,1000,1,1,1243179922,1243160122,0
90,GSM,427,1,9101,23553,0,51.477918,25.240969,1000,92,1,1304035215,1472996969,0
91,GSM,427,1,9101,24463,0,51.484611,25.241776,1254,20,1,1304035246,1476002499,0
92,GSM,427,1,9202,20433,0,51.49772644,25.258255,1000,1,1,1304208064,1304188264,0
99,GSM,427,1,9501,21031,0,51.539791,25.275945,1000,303,1,1336046542,1491863203,0
100,GSM,427,1,9501,21033,0,51.534591,25.275006,1000,96,1,1336565135,1490761461,0
101,GSM,427,1,9301,25713,0,51.462149,25.354274,2308,172,1,1341101023,1475813248,0
102,GSM,427,1,9501,24473,0,51.510269,25.280045,1000,15,1,1341101046,1490927316,0
103,GSM,427,1,9501,21683,0,51.514506,25.287952,1000,32,1,1341101069,1491131355,0
104,GSM,427,1,9401,20222,0,51.522234,25.288784,1000,13,1,1341101075,1455876056,0
105,GSM,427,1,9401,22752,0,51.529587,25.289841,1000,10,1,1341101086,1481797452,0
106,GSM,427,1,9401,20312,0,51.547709,25.283185,1607,111,1,1341101387,1486870610,0
107,GSM,427,1,9501,23641,0,51.541814,25.263683,1000,106,1,1341144227,1477011411,0
108,GSM,427,1,9203,25152,0,51.438592,25.164918,1000,265,1,1351510963,1452069238,0
109,GSM,427,1,9203,24521,0,51.43426,25.171985,4145,395,1,1351510963,1492242323,0
110,GSM,427,1,9203,24513,0,51.428663,25.177083,3005,475,1,1351510963,1492468731,0
111,GSM,427,1,9201,21372,0,51.425953,25.181121,3444,571,1,1351510963,1492468731,0
112,GSM,427,1,9201,22633,0,51.430801,25.192795,1000,15,1,1351510963,1491369567,0
113,GSM,427,1,9201,22632,0,51.431343,25.192294,1152,127,1,1351510963,1491369567,0
114,GSM,427,1,9201,22631,0,51.433025,25.195084,1000,70,1,1351510963,1491369567,0
115,GSM,427,1,9201,24663,0,51.435564,25.189885,1000,98,1,1351510964,1491369567,0
116,GSM,427,1,9201,21371,0,51.432965,25.184685,1752,152,1,1351510964,1491369567,0
117,GSM,427,1,9203,24523,0,51.430695,25.172549,2040,708,1,1351510965,1491484375,0
118,GSM,427,1,9203,25153,0,51.436151,25.167036,1000,302,1,1351510965,1474071010,0
119,GSM,427,1,9203,21909,0,51.419645,25.178016,1282,7,1,1351510965,1416809567,0
120,GSM,427,1,9201,25962,0,51.411788,25.178831,3152,351,1,1351510965,1480339884,0
121,GSM,427,1,9302,22611,0,51.396305,25.174369,3124,489,1,1351510965,1490672293,0
