,Unnamed: 0,GPS_lat,GPS_long,Network_lat,Network_long,Time,Anchor_Number,Type,Registered,CID,LAC,MCC,MNC,dBm,level,spoofed
0,0,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,0,GSM,True,40283,9402,427,1,-7,4,0.0
1,1,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,1,GSM,False,40282,9402,427,1,-23,4,0.0
2,2,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,2,GSM,False,40281,9402,427,1,-37,4,0.0
3,3,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,3,GSM,False,29173,9402,427,1,-67,4,0.0
4,4,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,4,GSM,False,25642,9402,427,1,-67,4,0.0
5,5,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,5,GSM,False,29171,9402,427,1,-77,4,0.0
6,6,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,6,GSM,False,49543,9402,427,1,-89,4,0.0
7,7,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,7,GSM,True,17383,120,427,2,11,4,0.0
8,8,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,8,GSM,False,17382,120,427,2,-3,4,0.0
9,9,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,9,GSM,False,16573,120,427,2,-35,4,0.0
10,10,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,10,GSM,False,17381,120,427,2,-37,4,0.0
11,11,25.36886833333333,51.55112333333333,0.0,0.0,1561285791859,11,GSM,False,10022,120,427,2,-71,4,0.0
12,12,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,0,GSM,True,40283,9402,427,1,-9,4,0.0
13,13,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,1,GSM,False,40282,9402,427,1,-25,4,0.0
14,14,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,2,GSM,False,40281,9402,427,1,-39,4,0.0
15,15,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,3,GSM,False,29173,9402,427,1,-67,4,0.0
16,16,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,4,GSM,False,25642,9402,427,1,-67,4,0.0
17,17,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,5,GSM,False,29171,9402,427,1,-77,4,0.0
18,18,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,6,GSM,False,49543,9402,427,1,-85,4,0.0
19,19,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,7,GSM,True,17383,120,427,2,11,4,0.0
20,20,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,8,GSM,False,17382,120,427,2,-3,4,0.0
21,21,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,9,GSM,False,16573,120,427,2,-35,4,0.0
22,22,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,10,GSM,False,17381,120,427,2,-37,4,0.0
23,23,25.368876666666665,51.55122333333334,0.0,0.0,1561285794838,11,GSM,False,10022,120,427,2,-69,4,0.0
24,24,25.36886833333333,51.551335,0.0,0.0,1561285795795,0,GSM,True,40283,9402,427,1,-9,4,0.0
25,25,25.36886833333333,51.551335,0.0,0.0,1561285795795,1,GSM,False,40282,9402,427,1,-25,4,0.0
26,26,25.36886833333333,51.551335,0.0,0.0,1561285795795,2,GSM,False,40281,9402,427,1,-39,4,0.0
27,27,25.36886833333333,51.551335,0.0,0.0,1561285795795,3,GSM,False,29173,9402,427,1,-67,4,0.0
28,28,25.36886833333333,51.551335,0.0,0.0,1561285795795,4,GSM,False,25642,9402,427,1,-67,4,0.0
29,29,25.36886833333333,51.551335,0.0,0.0,1561285795795,5,GSM,False,29171,9402,427,1,-77,4,0.0
30,30,25.36886833333333,51.551335,0.0,0.0,1561285795795,6,GSM,False,49543,9402,427,1,-85,4,0.0
31,31,25.36886833333333,51.551335,0.0,0.0,1561285795795,7,GSM,True,17383,120,427,2,11,4,0.0
32,32,25.36886833333333,51.551335,0.0,0.0,1561285795795,8,GSM,False,17382,120,427,2,-3,4,0.0
33,33,25.36886833333333,51.551335,0.0,0.0,1561285795795,9,GSM,False,16573,120,427,2,-35,4,0.0
34,34,25.36886833333333,51.551335,0.0,0.0,1561285795795,10,GSM,False,17381,120,427,2,-37,4,0.0
35,35,25.36886833333333,51.551335,0.0,0.0,1561285795795,11,GSM,False,10022,120,427,2,-69,4,0.0
36,36,25.368815,51.551541666666665,0.0,0.0,1561285796884,0,GSM,True,40283,9402,427,1,-9,4,0.0
37,37,25.368815,51.551541666666665,0.0,0.0,1561285796884,1,GSM,False,40282,9402,427,1,-25,4,0.0
38,38,25.368815,51.551541666666665,0.0,0.0,1561285796884,2,GSM,False,40281,9402,427,1,-39,4,0.0
39,39,25.368815,51.551541666666665,0.0,0.0,1561285796884,3,GSM,False,29173,9402,427,1,-67,4,0.0
40,40,25.368815,51.551541666666665,0.0,0.0,1561285796884,4,GSM,False,25642,9402,427,1,-67,4,0.0
41,41,25.368815,51.551541666666665,0.0,0.0,1561285796884,5,GSM,False,29171,9402,427,1,-77,4,0.0
42,42,25.368815,51.551541666666665,0.0,0.0,1561285796884,6,GSM,False,49543,9402,427,1,-85,4,0.0
43,43,25.368815,51.551541666666665,0.0,0.0,1561285796884,7,GSM,True,17383,120,427,2,11,4,0.0
44,44,25.368815,51.551541666666665,0.0,0.0,1561285796884,8,GSM,False,17382,120,427,2,-3,4,0.0
45,45,25.368815,51.551541666666665,0.0,0.0,1561285796884,9,GSM,False,16573,120,427,2,-35,4,0.0
46,46,25.368815,51.551541666666665,0.0,0.0,1561285796884,10,GSM,False,17381,120,427,2,-37,4,0.0
47,47,25.368815,51.551541666666665,0.0,0.0,1561285796884,11,GSM,False,10022,120,427,2,-69,4,0.0
48,48,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,0,GSM,True,40283,9402,427,1,-9,4,0.0
49,49,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,1,GSM,False,40282,9402,427,1,-25,4,0.0
50,50,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,2,GSM,False,40281,9402,427,1,-39,4,0.0
51,51,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,3,GSM,False,29173,9402,427,1,-67,4,0.0
52,52,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,4,GSM,False,25642,9402,427,1,-67,4,0.0
53,53,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,5,GSM,False,29171,9402,427,1,-77,4,0.0
54,54,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,6,GSM,False,49543,9402,427,1,-85,4,0.0
55,55,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,7,GSM,True,17383,120,427,2,11,4,0.0
56,56,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,8,GSM,False,17382,120,427,2,-3,4,0.0
57,57,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,9,GSM,False,16573,120,427,2,-35,4,0.0
58,58,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,10,GSM,False,17381,120,427,2,-37,4,0.0
59,59,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,11,GSM,False,10022,120,427,2,-69,4,0.0
60,60,25.36882,51.551455,0.0,0.0,1561285798854,0,GSM,True,40283,9402,427,1,-1,4,0.0
61,61,25.36882,51.551455,0.0,0.0,1561285798854,1,GSM,False,40282,9402,427,1,-29,4,0.0
62,62,25.36882,51.551455,0.0,0.0,1561285798854,2,GSM,False,40281,9402,427,1,-45,4,0.0
63,63,25.36882,51.551455,0.0,0.0,1561285798854,3,GSM,False,25642,9402,427,1,-73,4,0.0
64,64,25.36882,51.551455,0.0,0.0,1561285798854,4,GSM,False,29173,9402,427,1,-75,4,0.0
