radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,427,1,9501,21021,0,51.562476,25.27155,2514,47,1,1345493598,1481599036,0
GSM,427,1,9501,21023,0,51.552284,25.275218,1000,88,1,1345493598,1486870610,0
GSM,427,1,9501,22831,0,51.552658,25.277859,1000,109,1,1345493598,1486870610,0
GSM,427,1,9401,20642,0,51.555937,25.282838,1605,111,1,1345493598,1476340179,0
GSM,427,1,9401,22821,0,51.552676,25.284428,2028,154,1,1345493603,1476669354,0
GSM,427,1,9501,23261,0,51.552933,25.271988,1407,10,1,1345641933,1481599036,0
UMTS,427,1,6106,4357082,0,51.496746,25.306582,1000,21,1,1370334085,1460258587,0
UMTS,427,1,6106,4377079,0,51.496564,25.306637,1000,13,1,1370334086,1478665772,0
GSM,427,1,9402,21621,0,51.502337,25.305242,4922,14,1,1370334086,1490008940,0
UMTS,427,1,6106,4356307,0,51.493744,25.310165,1000,10,1,1370706469,1478665772,0
UMTS,427,1,6106,4356310,0,51.494064,25.309982,1000,6,1,1370706515,1449628280,0
UMTS,427,1,2102,1480957,0,50.847816,24.746017,1000,400,1,1380493363,1380493850,0
UMTS,427,1,2102,1500954,0,50.847964,24.746125,1000,344,1,1380496039,1380494133,0
UMTS,427,1,2102,1491843,0,50.84541321,24.74601746,1000,22,1,1380510521,1380493913,0
UMTS,427,1,2102,1471846,0,50.84541321,24.74601746,1000,15,1,1380510720,1380493755,0
UMTS,427,1,2102,1491844,0,50.84541321,24.74601746,1000,6,1,1380510762,1380492518,0
UMTS,427,1,2102,1500955,0,50.851402,24.755669,1000,36,1,1380513959,1380495267,0
UMTS,427,1,2102,1500953,0,50.852422,24.755725,1000,29,1,1380514072,1380495233,0
UMTS,427,1,2102,1480958,0,50.852904,24.755256,1000,11,1,1380514752,1380495260,0
UMTS,427,1,2102,1480956,0,50.85227966,24.75563049,1000,2,1,1380515112,1380495362,0
UMTS,427,2,181,1155937,0,51.49223328,25.24589539,1000,1,1,1476655800,1476632389,0
GSM,427,1,301,12563,0,51.22444153,25.37635803,1000,17,1,1223433530,1223413731,0
GSM,427,1,301,22563,0,51.22444153,25.37635803,1000,2,1,1223433531,1223413731,0
UMTS,427,1,1100,99629,0,51.60484314,25.15663147,1000,25,1,1239047046,1239027247,0
UMTS,427,1,5100,357911,0,51.53205872,25.27748108,1000,1,1,1239047047,1239027247,0
UMTS,427,1,54100,2653203,0,51.536865,25.291214,1000,20,1,1239047047,1239027247,0
GSM,427,1,401,29011,0,51.53617859,25.29121399,1000,4,1,1239047047,1239027247,0
UMTS,427,1,54100,2660451,0,51.53617859,25.29121399,1000,24,1,1239047048,1239027248,0
UMTS,427,1,54100,2660703,0,51.519646,25.351586,1000,104,1,1239047049,1239027277,0
UMTS,427,1,5100,360883,0,51.536316,25.280217,1000,130,1,1239047051,1239027276,0
UMTS,427,1,54100,2653342,0,51.54029846,25.28846741,1000,2,1,1239047053,1239027253,0
UMTS,427,1,54100,2653343,0,51.54012,25.287984,1000,54,1,1239047053,1239027254,0
UMTS,427,1,5100,358711,0,51.540642,25.265543,1328,404,1,1239047054,1239027262,0
UMTS,427,1,1100,95837,0,51.544686,25.254178,1000,287,1,1239047062,1239027268,0
UMTS,427,1,1100,99377,0,51.547277,25.265757,1603,294,1,1239047068,1239027274,0
UMTS,427,1,5100,358713,0,51.534076,25.276905,1000,81,1,1239047074,1239027275,0
UMTS,427,1,54100,2651651,0,51.521723,25.337075,1993,228,1,1239047077,1239027284,0
UMTS,427,1,54100,2654402,0,51.532069,25.325137,1000,131,1,1239047080,1239027282,0
UMTS,427,1,54100,2654633,0,51.51832581,25.3351593,1000,1,1,1239047082,1239027282,0
GSM,427,1,2100,30532,0,51.48948669,25.27198792,1000,1,1,1243078923,1243059123,0
GSM,427,1,54100,33192,0,51.52244568,25.32966614,1000,1,1,1243176613,1243156813,0
GSM,427,1,54100,30312,0,51.54716492,25.28297424,1000,1,1,1243179922,1243160122,0
UMTS,427,2,110,1228804,0,51.49497986,25.68534851,1000,1,1,1466537883,1466508772,0
UMTS,427,2,40,238949,0,51.55403137,25.26512146,1000,1,1,1273610133,1273590333,0
UMTS,427,1,3103,2193483,0,51.553345,25.256195,1000,2,1,1289414767,1450511965,0
UMTS,427,1,5105,3639886,0,51.449661,25.296707,1000,2,1,1289509146,1433945478,0
UMTS,427,1,5105,3639883,0,51.450348,25.296707,1000,2,1,1289509293,1443424209,0
UMTS,427,1,4104,2916557,0,51.48262,25.347977,1000,3,1,1289517373,1433422455,0
UMTS,427,1,4104,2918456,0,51.495895,25.346604,1000,3,1,1289517488,1435408776,0
UMTS,427,1,4104,4364599,0,51.50596619,25.33927917,1000,1,1,1289517882,1289498082,0
UMTS,427,1,6106,4364599,0,51.5045929,25.33927917,1000,2,1,1289517898,1289498166,0
UMTS,427,1,6106,2916499,0,51.5045929,25.33927917,1000,1,1,1289517912,1289498112,0
UMTS,427,1,4104,2916499,0,51.506424,25.342255,1000,6,1,1289517936,1469500626,0
UMTS,427,1,6106,4364602,0,51.5045929,25.33927917,1000,1,1,1289517943,1289498143,0
UMTS,427,1,6106,2916496,0,51.511459,25.338593,1000,2,1,1289518122,1438275629,0
UMTS,427,2,20,162965,0,51.516741,25.283714,1000,13,1,1296806863,1298257047,0
UMTS,427,2,20,173274,0,51.53617859,25.29121399,1000,1,1,1298136705,1298116905,0
