BSSID,Lat,Long
b0:00:b4:60:db:01,25.31894112,51.43431091
58:35:d9:27:2d:42,25.31938171,51.43455887
b0:00:b4:60:ef:60,25.3188343,51.43254852
b0:00:b4:60:ef:62,25.31902504,51.43339539
b0:00:b4:60:ef:61,25.31851006,51.43263626
90:72:40:18:2c:bc,25.31600189,51.43466949
b0:00:b4:60:db:03,25.31911087,51.43519211
b0:00:b4:60:db:00,25.318964,51.43437576
b4:e9:b0:ef:cb:f2,25.31948662,51.43401337
b0:00:b4:60:db:02,25.31888771,51.43416595
b0:00:b4:60:df:43,25.31926918,51.43585587
b4:e9:b0:ef:cb:f3,25.31958771,51.43432999
b0:00:b4:60:df:42,25.31897163,51.43321228
70:10:5c:83:57:62,25.31971741,51.43639374
70:10:5c:83:57:60,25.31946564,51.43668747
b4:e9:b0:b5:36:f6,25.31959915,51.43717957
b4:e9:b0:b5:36:f0,25.31960106,51.43718719
b4:e9:b0:b5:36:f5,25.31959915,51.43718338
70:10:5c:83:57:66,25.31945801,51.43665314
b4:e9:b0:b5:36:f1,25.31966591,51.43769836
b4:e9:b0:b5:36:f3,25.31991005,51.43702698
b4:e9:b0:b5:36:f2,25.31983185,51.43668747
d2:40:d0:39:7c:91,25.32019234,51.45426178
0c:80:63:f5:05:56,25.32019234,51.4552002
14:91:82:72:14:c4,25.32024574,51.45453644
fe:7c:02:a8:0b:d8,25.32033157,51.45689392
d8:0d:17:04:81:0a,25.32021904,51.45550537
50:c7:bf:0b:3a:bc,25.32029152,51.45645523
14:a5:1a:03:36:7c,25.3202877,51.45585251
ac:84:c6:fe:27:b2,25.32047844,51.45872498
dc:ef:ca:8b:8a:5c,25.32048607,51.4591217
18:d2:76:6d:44:d4,25.32010651,51.45769501
c0:56:27:a9:6c:ec,25.32029915,51.4626503
c8:b3:73:5e:ce:cf,25.32021904,51.46360779
96:53:30:87:04:0d,25.32013512,51.46509171
c4:07:2f:5e:85:5c,25.32018852,51.46488953
58:2a:f7:db:76:81,25.32013702,51.46524048
58:2a:f7:db:76:80,25.32012939,51.46505356
c8:51:95:a1:05:44,25.32013321,51.46545792
c0:25:e9:3a:95:b4,25.32019997,51.46518707
58:2a:f7:19:a6:bc,25.32020569,51.46558762
60:e3:27:3a:b2:26,25.32018852,51.46519089
14:a5:1a:03:9e:94,25.32022095,51.46579361
40:49:0f:a1:23:a3,25.32014847,51.46599579
0c:b5:27:1e:d1:8a,25.32019043,51.46712112
18:a6:f7:21:28:0e,25.32022858,51.46595764
94:10:3e:a0:04:79,25.32027054,51.4669838
70:5a:0f:6c:08:e5,25.32026863,51.4657402
ac:84:c6:e1:f0:34,25.32080841,51.47086334
4c:b1:6c:0d:2c:1e,25.3214016,51.47260666
58:2a:f7:bd:50:f8,25.37295532,51.54441071
14:9d:09:6a:47:cc,25.32101631,51.47165298
c4:12:f5:72:ac:8a,25.32131767,51.47246933
4c:1f:cc:78:78:36,25.32120132,51.47210693
4c:b1:6c:09:73:61,25.32159996,51.47332764
4c:1f:cc:78:a5:9a,25.32157898,51.47325134
04:f9:38:21:2f:5f,25.32205963,51.47493744
50:01:d9:17:7e:8c,25.32254982,51.47674561
00:24:17:a9:f7:d7,25.24810791,51.47042465
d8:49:0b:54:2a:cf,25.32295799,51.48033905
98:de:d0:ed:47:06,25.32296371,51.48081589
24:09:95:5d:db:08,25.32283783,51.48316574
c4:07:2f:8e:b1:d8,25.32292175,51.48237991
58:2a:f7:dc:4a:80,25.32272339,51.48402786
24:09:95:47:df:68,25.32277489,51.48370361
90:67:1c:3c:a0:58,25.32270813,51.48413467
88:90:8d:35:bd:11,25.32264137,51.48455048
50:01:d9:17:31:30,25.32270813,51.48413467
4c:1f:cc:2b:18:65,25.32266808,51.48432541
88:90:8d:35:bd:12,25.32264137,51.48455048
88:90:8d:a1:2e:d0,25.3225708,51.48494339
f4:71:90:0f:0b:0e,25.24111176,51.45711899
58:2a:f7:74:a8:90,25.32159805,51.48798752
58:2a:f7:75:82:24,25.32135773,51.48816299
38:b1:db:2f:7b:36,25.32130051,51.48816299
b0:be:76:0f:33:ae,25.32091522,51.48890686
d8:84:66:51:7c:49,25.31995392,51.49118805
4c:1f:cc:78:fb:b3,25.31837273,51.49512482
b0:4e:26:f6:6c:ba,25.32070732,51.4978981
70:4f:57:c6:5e:ee,25.32067871,51.4978714
94:10:3e:7e:56:d9,25.32101631,51.49831772
9c:d6:43:7d:fb:f3,25.32093048,51.4982338
94:10:3e:7e:2a:65,25.32104874,51.50093842
b8:38:61:ab:6b:3d,25.32104301,51.50102234
50:c7:bf:8e:ae:1a,25.32093239,51.50099564
90:67:1c:3d:00:70,25.27882195,51.50928116
18:d2:76:79:6a:30,25.3208828,51.50056839
1e:59:c0:40:ed:9f,25.32093811,51.50091934
58:35:d9:27:2d:43,25.31508255,51.43598557
58:35:d9:27:2d:40,25.31508064,51.43598557
1c:aa:07:5f:7c:c1,25.31509209,51.43606186
1c:aa:07:5f:7c:c2,25.31509209,51.43606186
4c:b1:6c:09:96:75,25.32173729,51.4739151
1a:59:c0:40:5d:b0,25.32189369,51.47450256
18:d6:c7:c8:a2:44,25.32175827,51.47399521
b0:4e:26:ed:d2:ba,25.32185364,51.47433472
d8:49:0b:7d:bd:70,25.32222939,51.47549438
b2:4e:26:fd:d2:ba,25.32185364,51.47433472
c8:d7:19:30:a4:4a,25.32202148,51.47484207
d0:6f:82:8d:4f:9c,25.32234573,51.47594452
14:a5:1a:14:b2:24,25.32254028,51.47670746
1a:59:c0:43:b1:19,25.32250595,51.47655106
d8:32:14:41:c9:41,25.32262421,51.47722626
b0:be:76:41:6f:94,25.32294846,51.48066711
50:64:2b:8c:c4:4a,NaN,NaN
64:70:02:64:ea:bb,25.32293892,51.481884
d4:6e:0e:6d:44:67,25.32292747,51.4821167
cc:b2:55:d5:10:01,25.32291031,51.48213196
92:3b:ad:a7:24:f6,25.32265663,51.484478
58:2a:f7:dc:bb:34,25.32271957,51.48399734
84:47:65:31:36:b4,25.3228054,51.48350143
b0:4e:26:90:d8:60,25.32258987,51.4848175
b0:4e:26:ed:f6:6e,25.31950188,51.50110626
b8:a3:86:2e:fc:8d,25.31929207,51.50111389
18:a6:f7:54:cc:b8,25.31873703,51.50110626
78:32:1b:07:48:bc,25.31884956,51.50111389
10:62:eb:95:ea:28,25.32051086,51.49694061
18:a6:f7:71:d7:bc,25.32100868,51.50091553
